Theft_Status,Occurrence_Hour,Premises_Type,Bike_Cost,Region
1,9,Outside,900,Downtown
1,19,Outside,340,Downtown
1,19,Outside,2000,Downtown
1,13,Outside,600,North York
1,22,House,400,Toronto
1,9,Outside,0,Downtown
1,17,Educational,305,Downtown
1,7,Outside,500,Downtown
1,15,Outside,189,Scarborough
1,2,Outside,750,Downtown
0,12,Educational,198,Scarborough
1,12,Outside,500,Midtown
1,22,Other,550,Toronto
1,12,Educational,198,Scarborough
1,18,Transit,3000,North York
0,1,Outside,170,Downtown
1,7,Outside,350,Downtown
1,14,House,90,Scarborough
1,6,Outside,450,North York
1,23,Transit,400,Toronto
1,15,Educational,370,Downtown
1,11,Commercial,2700,Toronto
1,15,Outside,370,Downtown
1,12,Outside,900,Downtown
1,9,Commercial,1000,Downtown
1,19,Outside,1300,Downtown
1,19,Outside,500,Downtown
1,11,Educational,1000,Downtown
1,14,Educational,300,Downtown
1,23,Educational,630,Downtown
1,8,Educational,250,Scarborough
1,20,Outside,600,Downtown
1,13,Educational,300,Downtown
1,17,Commercial,1700,Downtown
1,16,Educational,159.990005493164,Downtown
1,16,Educational,500,Downtown
1,22,Outside,100,Scarborough
1,15,Outside,3100,North York
1,15,Outside,3000,North York
1,13,Educational,120,Downtown
1,18,Other,850,Downtown
1,18,Other,500,Downtown
1,18,Other,2700,Downtown
1,13,Educational,200,Scarborough
1,20,House,1100,Downtown
1,7,House,1800,Downtown
1,19,Outside,450,Downtown
1,17,Outside,250,Downtown
1,11,Outside,1200,Downtown
1,15,Outside,0,Toronto
1,11,Outside,800,Downtown
0,11,Outside,600,Toronto
1,11,Outside,1500,Downtown
1,3,Educational,1650,Downtown
1,15,House,0,Downtown
0,18,Outside,500,Downtown
1,17,Educational,88,Downtown
1,9,House,250,Downtown
1,20,Outside,1200,Toronto
1,16,Outside,300,Midtown
1,18,Other,682.52001953125,Downtown
1,2,Commercial,0,Downtown
1,9,Outside,369,Downtown
1,23,Apartment,550,Downtown
1,18,Outside,650,Downtown
1,19,Other,700,Toronto
1,17,Outside,400,Downtown
1,17,Apartment,600,Downtown
1,10,Commercial,450,Downtown
1,18,Outside,550,Downtown
1,14,Outside,315,Downtown
1,16,Outside,450,Midtown
1,13,Outside,500,Downtown
1,12,Commercial,300,Toronto
1,6,House,300,North York
1,17,Commercial,290,Toronto
1,12,Other,900,Downtown
1,10,Educational,500,Downtown
1,2,Outside,500,Downtown
1,20,House,480,Scarborough
1,1,House,600,Scarborough
1,15,House,400,Midtown
1,15,House,500,Midtown
1,11,Educational,850,Downtown
1,11,House,0,Scarborough
1,8,Other,300,Downtown
1,20,Commercial,5700,Midtown
1,0,Apartment,519,Downtown
1,12,Outside,300,Toronto
1,16,Transit,275,Toronto
1,10,Educational,200,Downtown
1,9,Educational,700,Downtown
1,8,Apartment,0,Downtown
1,21,Apartment,750,Downtown
1,16,Apartment,500,Downtown
1,16,House,50,Downtown
1,11,Educational,250,Scarborough
1,11,Educational,250,Scarborough
1,23,House,350,Scarborough
1,17,House,750,Downtown
1,12,Outside,900,Downtown
1,9,Outside,1000,Downtown
1,0,House,500,Toronto
1,22,Outside,600,Downtown
1,4,House,500,Downtown
1,16,Outside,1200,Downtown
1,22,Outside,600,Downtown
1,8,Transit,300,Midtown
1,7,Apartment,150,Downtown
1,14,Outside,350,Downtown
1,18,Apartment,240,Downtown
1,16,Outside,650,Midtown
1,11,Other,579,Toronto
1,19,Apartment,4000,Downtown
1,7,Outside,800,Toronto
1,14,Other,700,Downtown
1,20,Outside,500,Downtown
1,3,Outside,1670.14001464844,Scarborough
1,6,Outside,1200,Downtown
1,16,Outside,1300,Midtown
1,21,Outside,550,Downtown
1,20,Outside,500,Downtown
1,16,Outside,11000,Downtown
1,13,Outside,1800,Downtown
1,10,Outside,150,Downtown
1,20,Outside,500,Downtown
1,20,Outside,1000,Midtown
1,19,House,200,North York
0,3,Outside,2943,Downtown
1,12,House,800,Downtown
1,18,Educational,1000,Downtown
1,1,House,400,Downtown
1,13,Apartment,220,North York
1,0,House,900,Toronto
1,20,Other,700,Downtown
1,16,Apartment,1500,North York
1,0,Transit,0,North York
1,0,Outside,550,Toronto
1,18,Outside,700,Downtown
1,16,Apartment,220,North York
1,8,Apartment,70,North York
1,17,Educational,100,Scarborough
1,17,Educational,100,Scarborough
1,19,Educational,600,Downtown
1,13,Outside,3000,Downtown
1,12,Educational,750,Downtown
1,1,Outside,600,Midtown
1,19,Outside,639,Downtown
1,0,Commercial,700,Downtown
1,12,Educational,700,Downtown
1,18,Outside,700,Downtown
1,0,Educational,100,Downtown
1,17,Outside,1029,Downtown
1,0,Other,600,Downtown
1,15,Outside,400,Downtown
1,21,Outside,350,North York
1,5,Transit,562,North York
1,12,Apartment,150,Toronto
0,12,Outside,1000,Downtown
0,12,Outside,1000,Downtown
1,14,Other,400,Toronto
0,12,Outside,1000,Downtown
0,12,Outside,1000,Downtown
0,12,Outside,1000,Downtown
0,12,Outside,1000,Downtown
1,19,Outside,600,Downtown
0,12,Outside,1000,Downtown
1,14,House,1500,Downtown
1,2,House,400,Downtown
1,14,Educational,150,Downtown
1,13,Outside,800,Downtown
1,11,Apartment,250,Downtown
1,23,Apartment,800,Toronto
1,8,Transit,700,Midtown
1,9,Outside,300,Downtown
1,23,Outside,0,Downtown
1,13,Outside,1000,Downtown
0,11,Other,300,Scarborough
1,0,House,100,Scarborough
1,16,Educational,300,Downtown
1,8,Outside,0,Downtown
1,21,House,800,North York
0,8,Educational,200,Scarborough
1,5,Outside,1700,Scarborough
1,17,Educational,600,Downtown
1,21,House,650,Downtown
1,14,Educational,1000,Downtown
1,15,Educational,78,Downtown
1,11,Educational,300,Downtown
1,21,Outside,0,Downtown
1,19,House,400,Downtown
1,19,Educational,600,Downtown
1,19,Educational,150,Downtown
1,9,Apartment,550,Toronto
1,9,Educational,146.889999389648,Downtown
1,10,Other,670,Downtown
1,12,House,1780,Scarborough
1,12,Outside,600,Downtown
1,16,Outside,500,Downtown
1,20,Other,1500,Downtown
1,0,Other,13000,Toronto
1,14,Outside,279,Downtown
1,11,Educational,465,Downtown
1,12,Transit,400,Scarborough
1,7,Outside,800,Downtown
1,22,House,625,Toronto
1,7,Commercial,400,Downtown
1,9,House,599,Downtown
1,0,Apartment,500,Midtown
1,21,Outside,300,Downtown
1,9,Outside,500,Downtown
1,21,Outside,1329,Downtown
1,16,Outside,950,Downtown
1,13,Educational,680,Downtown
1,8,Educational,1500,Downtown
1,16,House,500,Toronto
1,9,Educational,250,Toronto
1,21,Outside,600,Downtown
1,18,Outside,5500,Downtown
1,9,House,250,Scarborough
1,17,Apartment,800,Downtown
1,10,Outside,200,Downtown
1,15,House,50,Downtown
1,19,Commercial,400,North York
1,19,Outside,800,North York
1,7,Educational,600,Downtown
1,15,Educational,400,Scarborough
1,14,Apartment,1700,Downtown
1,14,Apartment,1500,Downtown
1,21,Outside,1200,Downtown
1,21,Commercial,1200,North York
1,9,Outside,0,Downtown
1,8,Transit,600,Scarborough
1,23,Outside,325,Downtown
1,19,House,300,Scarborough
1,19,House,250,Scarborough
1,19,House,200,Scarborough
1,19,House,150,Scarborough
1,15,Outside,630,Toronto
1,16,Apartment,600,Toronto
1,21,House,250,North York
1,20,House,100,Scarborough
1,12,Commercial,836,Downtown
1,20,Outside,500,Downtown
1,17,Apartment,666.650024414063,Downtown
1,11,Other,250,North York
1,12,Outside,700,Downtown
1,8,Outside,350,Downtown
1,9,Educational,65,Downtown
1,9,Educational,500,Downtown
1,11,Outside,200,Downtown
1,14,Outside,0,Downtown
1,15,House,40,Scarborough
1,15,House,65,Scarborough
1,21,Apartment,650,Downtown
1,23,Outside,450,Downtown
1,0,House,350,Downtown
1,2,Commercial,1000,Downtown
1,9,Educational,850,Downtown
1,15,Other,300,Scarborough
1,16,Outside,2500,Downtown
1,23,Apartment,400,Downtown
1,20,Outside,0,Downtown
1,12,Outside,360,Downtown
1,17,Educational,1300,Downtown
1,19,Other,0,Midtown
1,11,Outside,400,Toronto
1,10,Apartment,200,Toronto
1,8,Educational,640,Downtown
1,16,Educational,500,Downtown
1,14,Outside,300,Downtown
1,15,Outside,0,Downtown
1,11,Educational,1300,Downtown
1,15,Outside,200,Downtown
1,10,Educational,500,Downtown
1,8,Other,579.989990234375,Downtown
1,1,Apartment,900,Toronto
1,2,House,1000,Downtown
1,2,House,600,Downtown
1,12,Commercial,300,Downtown
1,12,Commercial,300,Downtown
1,9,Outside,450.869995117188,Toronto
1,12,Outside,300,Scarborough
1,10,Commercial,600,Downtown
1,2,Commercial,1200,Downtown
1,0,House,750,Toronto
1,22,Apartment,3000,Downtown
1,11,Commercial,500,Scarborough
1,17,Commercial,900,Scarborough
1,17,Apartment,900,Toronto
1,13,Commercial,639.989990234375,North York
1,12,Apartment,800,Downtown
1,14,Outside,850,Toronto
1,0,House,500,Scarborough
1,16,Outside,600,Downtown
1,17,Apartment,850,Toronto
1,17,Outside,369.989990234375,Downtown
1,7,Apartment,550,Downtown
1,0,Apartment,1000,Downtown
1,11,Commercial,1800,Toronto
1,11,Educational,185,Scarborough
1,14,Outside,0,Toronto
1,9,House,100,Downtown
1,12,Educational,280,Scarborough
1,23,House,700,Midtown
1,10,Apartment,500,Toronto
1,13,Other,1500,Downtown
1,20,Outside,0,Downtown
1,17,Outside,1200,Downtown
1,17,Other,239.990005493164,Scarborough
1,9,Educational,500,Downtown
0,8,Other,1000,Downtown
1,15,Educational,500,Downtown
1,11,Educational,560,Downtown
1,10,Educational,250,Downtown
1,9,Educational,600,Downtown
1,7,Outside,735,Toronto
1,23,Outside,400,Downtown
1,23,House,140,Scarborough
1,23,House,129,Scarborough
1,23,Outside,3500,Downtown
1,10,Commercial,750,Scarborough
1,18,Outside,300,Toronto
1,17,Commercial,300,Toronto
1,12,House,500,Toronto
1,17,Transit,375,Scarborough
1,10,Other,400,Scarborough
1,13,Other,1000,Downtown
1,18,Outside,400,Downtown
1,21,Educational,500,Downtown
1,21,Other,0,Scarborough
1,8,Other,500,Midtown
1,19,Educational,100,Downtown
1,17,Commercial,2400,Toronto
1,9,Educational,850,Downtown
0,21,Outside,5299,Downtown
1,20,House,400,Downtown
1,7,Other,800,Scarborough
1,18,Educational,900,Downtown
1,18,Educational,378,Downtown
1,2,Other,400,Downtown
1,9,Outside,0,Downtown
1,11,Outside,400,Downtown
0,14,Outside,75,North York
1,13,Commercial,400,Downtown
1,16,Apartment,0,Downtown
1,14,Outside,2300,Toronto
1,20,Apartment,510,Downtown
1,18,House,100,Downtown
1,0,Other,0,Midtown
1,14,Outside,200,Downtown
1,19,Outside,200,Downtown
1,0,Other,700,Midtown
1,9,Educational,399,Downtown
1,9,Educational,150,Downtown
1,13,Educational,1000,Downtown
1,17,Educational,30,Downtown
1,14,Apartment,500,North York
1,11,Other,50,Downtown
1,19,House,140,North York
1,7,Outside,500,Downtown
1,19,House,100,North York
1,11,Other,80,Downtown
1,9,House,2000,Downtown
1,17,House,1000,Toronto
1,22,Outside,1145,Downtown
1,8,Apartment,700,Downtown
1,1,House,1100,Toronto
1,10,Commercial,200,Scarborough
1,18,Other,0,Downtown
1,17,Outside,500,Downtown
1,14,House,600,North York
1,21,Commercial,1300,Toronto
1,17,Outside,500,Downtown
1,7,Other,200,Toronto
1,12,Other,1100,North York
1,16,House,1000,Toronto
1,22,Outside,250,Downtown
1,9,Outside,200,Downtown
1,11,Educational,250,Downtown
1,22,Outside,3200,Downtown
1,15,Outside,3400,Downtown
1,0,Other,150,Downtown
1,19,Outside,0,Downtown
1,11,Educational,400,Downtown
1,15,Outside,1921,Downtown
1,15,Commercial,1100,Downtown
1,15,Educational,1200,Downtown
1,1,Outside,2500,Downtown
1,13,Outside,1000,Downtown
1,21,Educational,700,Downtown
1,9,Educational,120,Downtown
1,18,Other,500,Toronto
1,15,House,350,Toronto
1,18,Other,900,Toronto
1,7,Outside,1500,Downtown
1,10,Outside,300,Toronto
1,17,Other,300,Toronto
1,13,Outside,440,Downtown
1,0,Other,1100,Downtown
1,0,Other,250,Downtown
1,0,Outside,360,Downtown
1,16,Educational,600,Downtown
1,23,Educational,300,Downtown
1,18,Commercial,449,Downtown
1,9,Outside,1000,Downtown
1,20,Educational,800,Downtown
1,5,Outside,300,Downtown
0,21,Outside,800,Downtown
1,7,Other,1500,Downtown
1,14,Outside,350,Downtown
1,11,Outside,150,Downtown
1,13,Educational,1000,Downtown
1,17,Outside,120,Toronto
1,21,Outside,500,Downtown
1,11,Apartment,1500,Downtown
1,22,House,100,Toronto
1,14,House,500,Downtown
1,13,Apartment,760,North York
1,12,Apartment,1500,Downtown
1,18,Outside,750,Scarborough
1,10,Apartment,750,Downtown
1,10,Apartment,30,Downtown
1,22,House,500,Downtown
1,0,Commercial,1400,Downtown
1,10,Commercial,500,Toronto
1,13,Other,955.700012207031,Downtown
1,21,Outside,250,Downtown
1,17,Outside,1250,Downtown
1,15,Outside,200,Downtown
1,23,Outside,0,Toronto
1,12,Outside,473.350006103516,Toronto
1,13,Commercial,1000,Downtown
1,20,Outside,1500,Scarborough
1,13,Apartment,300,North York
1,19,Apartment,1600,Downtown
1,15,Outside,350,Toronto
1,9,Outside,500,Downtown
1,14,Commercial,100,Midtown
1,13,Apartment,1500,Downtown
1,22,Educational,400,Scarborough
1,23,House,500,Toronto
1,6,House,0,Downtown
1,3,Educational,110,Downtown
1,22,House,0,Midtown
1,11,Outside,1000,Midtown
1,8,Apartment,600,Downtown
1,18,Commercial,0,Toronto
1,17,Outside,2000,Downtown
1,18,Other,800,Downtown
1,19,Outside,800,Downtown
1,20,Outside,300,Downtown
1,12,Outside,500,Downtown
1,19,Commercial,5100,Downtown
1,14,Outside,1000,Downtown
1,11,Apartment,440.700012207031,Downtown
1,17,Apartment,500,Downtown
1,8,Commercial,200,Downtown
1,10,Apartment,1695,Downtown
1,0,Outside,950,Scarborough
1,21,Outside,600,Downtown
1,1,House,1000,Scarborough
1,11,Other,3500,Scarborough
1,1,House,5000,Scarborough
1,17,Apartment,1500,Toronto
1,20,House,700,Downtown
1,21,Outside,600,Downtown
1,23,Outside,1200,Toronto
1,10,Outside,700,Downtown
1,12,Commercial,250,Downtown
1,16,Apartment,500,Downtown
1,17,Educational,450,Downtown
1,15,Educational,600,Downtown
1,7,Other,600,Downtown
1,22,Apartment,450,Downtown
1,11,Outside,500,Downtown
1,14,Outside,800,Toronto
1,17,Educational,1500,Downtown
1,16,Educational,400,Downtown
1,4,Outside,800,Toronto
1,21,Other,1500,Toronto
1,0,Outside,500,Toronto
1,0,Apartment,0,Downtown
1,10,House,400,Midtown
1,18,Commercial,500,North York
1,15,Outside,550,Downtown
1,10,Outside,100,Scarborough
1,19,Outside,450,Toronto
1,15,Outside,800,Downtown
1,9,Outside,150,Downtown
1,3,Outside,340,Downtown
1,22,House,900,Downtown
1,11,Commercial,870,Scarborough
1,16,Commercial,900,Midtown
1,16,House,800,Midtown
1,9,Outside,1000,Downtown
1,14,House,1000,Scarborough
1,22,Outside,60,Downtown
1,12,Educational,500,Downtown
1,23,Apartment,100,Downtown
1,18,House,175,Downtown
1,9,Educational,200,Downtown
1,12,Other,500,Downtown
1,18,Commercial,1800,Toronto
1,10,Educational,800,Downtown
1,19,House,300,Toronto
1,13,Outside,600,Scarborough
1,10,House,800,Downtown
1,17,House,1200,Toronto
1,10,House,800,Downtown
1,22,House,500,Downtown
1,21,Outside,400,Downtown
1,15,Educational,200,Scarborough
1,16,Outside,0,Downtown
1,16,Outside,700,Scarborough
1,13,Outside,150,Toronto
1,9,Outside,6700,Downtown
1,19,Outside,700,Downtown
1,17,Commercial,1500,Downtown
1,22,House,500,Midtown
1,22,House,200,Midtown
1,7,House,800,Downtown
1,7,House,800,Downtown
1,12,Outside,250,Downtown
1,5,House,400,Downtown
1,8,Educational,300,Downtown
1,9,Educational,426,Toronto
1,4,Apartment,699,Downtown
1,16,House,500,Downtown
1,10,Outside,0,Downtown
1,10,Outside,450,Toronto
1,18,Outside,400,Downtown
1,18,Apartment,200,Downtown
1,23,Outside,900,Downtown
1,7,Educational,600,Downtown
1,10,House,1500,Scarborough
1,0,Commercial,2000,Downtown
1,11,Other,530,Toronto
1,19,Outside,400,Downtown
1,1,House,400,Downtown
1,20,Outside,650,Downtown
1,12,Educational,629,Toronto
1,12,Outside,1000,Midtown
1,1,House,2100,Midtown
1,20,Apartment,0,Toronto
1,1,Commercial,400,Downtown
1,8,Outside,900,Downtown
1,0,House,500,Downtown
1,2,Apartment,450,Downtown
1,23,House,800,Toronto
1,22,Outside,600,Downtown
1,17,Outside,200,Downtown
1,12,Commercial,300,Downtown
1,7,Commercial,300,Toronto
1,23,House,200,Downtown
1,20,Apartment,200,Downtown
1,14,Outside,900,Downtown
1,9,Outside,350,Midtown
1,17,House,400,Scarborough
1,1,Apartment,750,Downtown
1,9,Outside,628.260009765625,Midtown
1,8,Commercial,700,Midtown
1,19,Outside,1500,Downtown
1,9,Apartment,450,Downtown
1,9,Apartment,1000,Downtown
1,10,Other,50,North York
1,10,Other,50,North York
1,15,Outside,450,Downtown
1,7,Outside,500,Downtown
1,18,Other,750,North York
1,18,Outside,1000,Downtown
1,12,House,350,Toronto
1,18,Educational,500,Downtown
1,14,Outside,1100,Downtown
1,7,Outside,700,Downtown
1,11,Other,435,Downtown
1,0,House,1000,Toronto
1,13,Educational,1600,Downtown
1,21,Other,0,Downtown
1,0,Apartment,100,Downtown
1,20,House,0,Downtown
1,9,Outside,200,Downtown
1,12,Apartment,500,Downtown
1,1,Commercial,450,Downtown
0,10,Apartment,400,Downtown
1,17,Apartment,400,Downtown
1,13,Educational,800,Midtown
1,11,Apartment,250,Downtown
1,5,Transit,0,Toronto
1,12,House,399,Downtown
1,13,Outside,1200,Downtown
1,23,House,800,Downtown
1,23,House,100,Downtown
1,16,House,270,Downtown
1,8,Educational,300,Toronto
1,17,Commercial,2000,Downtown
1,12,Apartment,550,Downtown
1,8,Educational,400,North York
1,12,Transit,350,Scarborough
0,20,Outside,1000,Downtown
1,19,Outside,100,Downtown
1,23,Other,2000,Downtown
1,17,Outside,750,Downtown
1,19,Educational,870,Downtown
1,22,House,600,Midtown
1,19,Commercial,2675,Downtown
1,9,House,0,Downtown
1,11,Commercial,100,Scarborough
1,21,Educational,200,Downtown
1,23,Other,800,Toronto
1,0,House,200,Toronto
1,21,Apartment,650,Toronto
1,8,Educational,100,Downtown
1,23,House,350,Toronto
1,16,Apartment,399,Downtown
1,9,Apartment,535.559997558594,Downtown
1,18,Outside,2000,Toronto
1,22,Apartment,700,Downtown
1,12,Other,1000,Midtown
1,15,House,950,Scarborough
1,11,Outside,900,Downtown
1,10,Educational,349.989990234375,Scarborough
1,16,Commercial,1700,Downtown
1,18,Other,700,Midtown
1,14,Outside,900,Downtown
1,17,Other,299.989990234375,Scarborough
1,17,Other,199.990005493164,Scarborough
1,19,House,100,Downtown
1,18,Other,700,Midtown
1,20,Other,1370,Midtown
1,15,Educational,630,Downtown
1,10,Educational,750,Downtown
1,17,Educational,60,Downtown
1,18,Outside,1500,Downtown
1,4,Apartment,500,Scarborough
1,20,Apartment,2500,Downtown
1,22,House,800,Midtown
1,14,Educational,750,Downtown
1,22,House,170,Toronto
1,8,Outside,150,Downtown
1,22,Educational,100,Downtown
1,18,Outside,860,Midtown
1,21,Commercial,200,Downtown
1,13,Outside,250,Downtown
0,11,Other,400,Toronto
1,19,House,500,Toronto
1,19,Apartment,450,Downtown
1,0,Apartment,1300,Downtown
1,16,Apartment,570,Toronto
1,18,Apartment,500,Downtown
1,14,Outside,400,Midtown
1,17,Outside,1500,Downtown
1,23,Apartment,1200,Toronto
1,13,Commercial,900,Downtown
1,12,House,150,Toronto
1,18,Outside,400,Downtown
1,8,Outside,300,North York
1,21,Outside,850,Downtown
1,13,Apartment,250,Downtown
1,10,Outside,1243,Downtown
1,0,House,550,Midtown
1,21,Outside,850,Downtown
1,9,Outside,1250,Scarborough
1,8,Outside,800,Downtown
1,13,Other,1000,Downtown
1,22,Outside,135,Downtown
1,21,Apartment,400,Toronto
1,12,Apartment,817,Toronto
1,11,Other,600,Toronto
1,18,Outside,250,Downtown
1,15,Outside,300,Downtown
1,14,Outside,650,Toronto
1,13,Educational,475,Downtown
1,14,Other,200,Downtown
1,13,Other,2000,Downtown
1,16,House,4200,Toronto
1,18,Outside,150,Toronto
1,8,Other,150,Downtown
1,20,House,1200,Scarborough
1,22,House,800,Downtown
1,15,Other,600,Downtown
1,16,House,1500,Downtown
1,17,Educational,400,Downtown
1,21,Apartment,800,Scarborough
1,18,Other,300,North York
1,21,Other,350,Midtown
1,17,Other,800,Toronto
1,21,Other,692.5,Midtown
1,3,Outside,599.989990234375,Downtown
1,18,House,600,Toronto
1,19,Outside,600,Downtown
1,12,Apartment,300,North York
1,14,House,350,North York
1,7,Outside,0,Downtown
1,0,Outside,150,Downtown
1,20,Outside,120,Scarborough
1,22,Outside,830,Downtown
1,15,Commercial,1000,Downtown
1,12,Outside,800,Scarborough
1,17,Outside,1100,Downtown
1,2,House,700,Toronto
1,7,House,800,Downtown
1,10,Transit,600,North York
1,15,House,200,North York
1,15,House,100,Downtown
1,11,Educational,500,Downtown
1,1,Other,500,Midtown
1,1,Other,400,Midtown
1,19,Other,750,Downtown
1,0,Outside,1500,Downtown
0,7,Apartment,100,Scarborough
1,2,Outside,2500,Downtown
1,14,Outside,450,Downtown
1,17,House,150,North York
1,23,House,600,Downtown
1,0,Outside,1000,Downtown
1,23,House,300,Downtown
1,20,Outside,800,Downtown
1,20,Outside,900,Downtown
1,16,Educational,300,Downtown
1,7,Educational,900,Downtown
1,22,Apartment,800,Downtown
1,16,Educational,700,Downtown
1,15,Outside,200,Downtown
1,17,House,500,Downtown
1,12,Other,1200,Downtown
1,11,House,750,Midtown
1,7,Commercial,800,Toronto
1,12,Other,1200,Downtown
1,9,Other,555,Toronto
1,15,Other,2000,Toronto
1,15,Other,2000,Toronto
1,15,Other,1000,Toronto
1,14,Apartment,1200,Downtown
1,20,Outside,0,Scarborough
1,14,Outside,1300,Downtown
1,6,Transit,1400,Scarborough
1,20,Other,356.989990234375,Downtown
1,12,Apartment,0,Downtown
1,20,Other,600,Downtown
1,22,Other,600,Toronto
1,1,House,600,Downtown
1,22,Other,900,Toronto
1,0,House,1350,Midtown
1,14,Other,850,Toronto
1,8,Commercial,800,Toronto
1,19,Other,735,Toronto
1,14,Other,650,Toronto
1,14,Other,600,Toronto
1,23,Apartment,350,Downtown
1,7,Outside,720,Downtown
1,6,Outside,200,North York
1,15,Outside,1000,Downtown
1,16,Outside,2000,North York
1,20,Apartment,300,North York
1,12,Outside,850,Downtown
1,23,Outside,1400,Downtown
1,6,Outside,1050,North York
1,9,House,100,Scarborough
1,2,Outside,600,Downtown
1,0,House,118,North York
1,9,House,100,Scarborough
1,9,House,0,Midtown
1,17,Apartment,150,Downtown
1,7,Apartment,700,Downtown
1,13,Educational,650,Downtown
1,23,Other,1000,Toronto
1,18,Outside,1500,Downtown
1,17,Other,0,Scarborough
0,17,Outside,500,Toronto
1,12,Apartment,550,Downtown
1,0,House,500,Midtown
1,17,Other,1000,Midtown
1,17,Other,2000,Midtown
1,0,House,800,Midtown
1,19,House,1100,Toronto
1,14,Commercial,375,Downtown
1,16,Educational,650,Downtown
1,12,Outside,1200,North York
0,17,Outside,1500,Downtown
1,9,Outside,550,Downtown
1,3,Outside,500,Downtown
1,22,House,700,Scarborough
1,15,Outside,250,Downtown
1,9,Commercial,470,Toronto
1,21,House,800,Toronto
1,15,Outside,400,Downtown
1,10,Outside,400,Downtown
1,13,Outside,650,Downtown
1,7,Apartment,180,Downtown
1,14,Outside,1100,Toronto
1,0,House,450,Downtown
1,18,Apartment,400,Toronto
1,18,Outside,9000,Scarborough
1,12,Other,600,Toronto
1,8,Transit,350,Scarborough
1,19,House,500,Toronto
1,18,House,0,Scarborough
1,15,Other,750,Toronto
1,3,Commercial,1500,Downtown
1,15,Apartment,800,Downtown
1,17,Outside,1219.2099609375,Toronto
1,10,House,450,Downtown
1,10,House,1200,Downtown
1,11,Outside,400,Midtown
1,4,House,800,Toronto
